id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Barrio Lights,Luna Norte,reggaeton,euphoric,0.88,96,0.83,0.91,0.12
12,Glass Horizon,North Hall Orchestra,classical,serene,0.22,64,0.58,0.18,0.97
13,Iron Anthem,Black Relay,metal,rebellious,0.95,168,0.41,0.52,0.04
14,Golden Market,Kito Avenue,afrobeat,playful,0.79,112,0.86,0.89,0.23
15,Dust Road Letter,Cedar Vale,country,nostalgic,0.49,92,0.67,0.61,0.74
16,Neon Afterhours,Velvet Circuit,house,cinematic,0.84,126,0.72,0.87,0.10
17,Velvet Confession,Sable June,r&b,romantic,0.57,88,0.76,0.73,0.46
18,Winter Lanterns,Hollow Pines,folk,melancholic,0.31,76,0.44,0.42,0.91
